customer_id,revenue,clicks,conversions,session_duration,region,device_type
CUST_000001,60.1,41.0,0.0,6.6,West,Desktop
CUST_000002,28.05,14.0,2.0,9.3,South,Mobile
CUST_000003,72.04,25.0,0.0,20.7,South,Desktop
CUST_000004,205.95,26.0,2.0,20.0,South,Desktop
CUST_000005,25.0,27.0,2.0,15.8,South,Desktop
CUST_000006,25.0,12.0,0.0,1.4,South,Desktop
CUST_000007,220.31,13.0,0.0,21.6,South,Mobile
CUST_000008,83.17,34.0,0.0,17.2,West,Mobile
CUST_000009,18.85,19.0,4.0,15.8,South,Desktop
CUST_000010,63.5,19.0,1.0,29.6,North,Mobile
CUST_000011,18.99,39.0,0.0,20.5,South,Desktop
CUST_000012,18.94,19.0,4.0,20.8,West,Mobile
CUST_000013,44.27,18.0,0.0,8.6,South,Desktop
CUST_000014,3.33,7.0,5.0,0.9,South,Desktop
CUST_000015,4.18,13.0,2.0,11.4,South,Mobile
CUST_000016,16.87,23.0,2.0,24.1,South,Mobile
CUST_000017,9.82,26.0,1.0,17.8,South,Desktop
CUST_000018,48.28,19.0,4.0,28.3,South,Tablet
CUST_000019,11.14,16.0,1.0,6.9,South,Desktop
CUST_000020,6.08,22.0,1.0,25.0,South,Mobile
CUST_000021,192.25,6.0,0.0,2.5,South,Desktop
CUST_000022,25.26,31.0,1.0,16.4,West,Tablet
CUST_000023,35.91,26.0,1.0,0.0,North,Desktop
CUST_000024,5.99,39.0,1.0,1.4,West,Desktop
CUST_000025,17.23,22.0,1.0,16.2,South,Mobile
CUST_000026,37.83,19.0,0.0,3.7,South,Mobile
CUST_000027,8.32,23.0,0.0,8.4,West,Desktop
CUST_000028,51.98,30.0,2.0,19.5,South,Mobile
CUST_000029,16.11,18.0,1.0,14.7,West,Mobile
CUST_000030,23.34,32.0,0.0,10.6,South,Mobile
CUST_000031,16.09,31.0,1.0,25.0,South,Desktop
CUST_000032,305.74,35.0,1.0,5.9,South,Desktop
CUST_000033,32.58,10.0,1.0,21.9,South,Desktop
CUST_000034,9.31,37.0,0.0,6.5,West,Desktop
CUST_000035,88.86,23.0,1.0,21.8,South,Desktop
CUST_000036,7.65,20.0,1.0,8.8,West,Tablet
CUST_000037,42.55,38.0,0.0,22.0,South,Mobile
CUST_000038,3.15,18.0,2.0,7.9,South,Desktop
CUST_000039,6.73,22.0,2.0,11.8,North,Desktop
CUST_000040,41.94,40.0,2.0,14.4,North,Desktop
CUST_000041,80.33,19.0,2.0,4.7,South,Desktop
CUST_000042,40.68,16.0,4.0,13.4,West,Desktop
CUST_000043,28.82,28.0,0.0,29.3,South,Desktop
CUST_000044,23.07,26.0,1.0,4.7,South,Mobile
CUST_000045,5.62,27.0,2.0,22.9,South,Desktop
CUST_000046,13.96,23.0,2.0,0.0,North,Tablet
CUST_000047,19.05,16.0,0.0,21.1,South,Desktop
CUST_000048,117.75,39.0,1.0,32.8,South,Desktop
CUST_000049,50.02,17.0,0.0,13.3,South,Desktop
CUST_000050,3.99,17.0,2.0,13.8,South,Desktop
CUST_000051,48.86,30.0,1.0,1.8,South,Desktop
CUST_000052,20.86,30.0,2.0,2.5,West,Desktop
CUST_000053,14.7,20.0,3.0,19.5,West,Tablet
CUST_000054,68.99,17.0,2.0,20.4,South,Desktop
