customer_id,revenue,clicks,conversions,session_duration,region,device_type
CUST_000001,60.1,,2.0,15.2,West,Mobile
CUST_000002,28.05,53.0,0.0,3.3,North,Desktop
CUST_000003,72.04,16.0,0.0,14.7,West,Desktop
CUST_000004,205.95,22.0,1.0,7.8,North,Mobile
CUST_000005,,15.0,2.0,89.4,North,Tablet
CUST_000006,25.0,16.0,1.0,9.1,North,Desktop
CUST_000007,220.31,36.0,1.0,17.6,West,Tablet
CUST_000008,83.17,27.0,0.0,22.1,West,Tablet
CUST_000009,,23.0,,6.2,West,Tablet
CUST_000010,63.5,40.0,1.0,10.6,West,Desktop
CUST_000011,18.99,33.0,3.0,28.0,West,Desktop
CUST_000012,18.94,27.0,4.0,11.6,East,Tablet
CUST_000013,44.27,28.0,0.0,22.0,West,Tablet
CUST_000014,3.33,16.0,0.0,,East,Mobile
CUST_000015,,21.0,1.0,4.6,West,Mobile
CUST_000016,16.87,,2.0,2.5,West,Mobile
CUST_000017,9.82,13.0,2.0,110.7,East,Mobile
CUST_000018,48.28,26.0,0.0,24.3,West,Tablet
CUST_000019,11.14,36.0,0.0,,West,Mobile
CUST_000020,6.08,11.0,0.0,9.0,West,Desktop
CUST_000021,192.25,22.0,,4.9,West,Tablet
CUST_000022,25.26,29.0,2.0,25.0,West,Desktop
CUST_000023,35.91,21.0,0.0,0.3,West,Tablet
CUST_000024,5.99,15.0,0.0,19.5,East,Tablet
CUST_000025,17.23,24.0,2.0,17.0,East,Desktop
CUST_000026,37.83,47.0,3.0,17.7,West,Desktop
CUST_000027,8.32,30.0,5.0,19.5,West,Mobile
CUST_000028,51.98,24.0,1.0,5.8,West,Desktop
CUST_000029,16.11,23.0,0.0,13.1,East,Tablet
CUST_000030,23.34,24.0,3.0,9.3,East,Mobile
CUST_000031,16.09,45.0,2.0,19.7,West,Desktop
CUST_000032,305.74,21.0,0.0,15.6,West,Desktop
CUST_000033,32.58,20.0,3.0,9.5,West,Mobile
CUST_000034,9.31,16.0,1.0,25.1,West,Tablet
CUST_000035,88.86,32.0,0.0,15.4,West,Tablet
CUST_000036,7.65,23.0,1.0,25.2,West,Tablet
CUST_000037,42.55,21.0,2.0,14.5,North,Tablet
