customer_id,group,revenue,clicks,conversions,session_duration,region,device_type
CUST_005427,Group_B,27.42,11.0,0.0,26.9,East,Mobile
CUST_000674,Group_A,31.31,6.0,0.0,3.4,East,Mobile
CUST_005229,Group_B,124.16,9.0,0.0,3.4,West,Tablet
CUST_005946,Group_B,10.15,14.0,3.0,22.5,East,Tablet
CUST_001218,Group_A,20.06,6.0,1.0,15.4,East,Mobile
CUST_009786,Group_C,48.84,12.0,0.0,11.4,West,Desktop
CUST_001852,Group_A,14.2,13.0,0.0,21.3,West,Mobile
CUST_006187,Group_B,713.47,7.0,0.0,23.7,East,Tablet
CUST_008120,Group_C,124.96,11.0,1.0,17.9,North,Mobile
CUST_005124,Group_B,3243.26,7.0,0.0,14.3,North,Tablet
CUST_007162,Group_C,23.23,16.0,0.0,20.6,East,Tablet
CUST_002253,Group_A,3.35,12.0,0.0,0.0,South,Mobile
CUST_001471,Group_A,13.84,8.0,0.0,12.0,East,Tablet
CUST_000034,Group_A,17.84,6.0,0.0,13.2,West,Tablet
CUST_002378,Group_A,39.56,8.0,0.0,18.7,North,Mobile
CUST_008819,Group_C,10.02,7.0,0.0,9.4,East,Mobile
CUST_007586,Group_C,30.68,12.0,0.0,25.1,North,Mobile
CUST_001113,Group_A,347.91,19.0,0.0,24.1,East,Mobile
CUST_004573,Group_B,32.36,12.0,0.0,16.8,South,Desktop
CUST_001787,Group_A,15.75,11.0,0.0,11.7,North,Desktop
CUST_006822,Group_C,42.41,9.0,0.0,9.0,East,Tablet
CUST_004439,Group_B,8.72,11.0,1.0,22.7,South,Desktop
CUST_003167,Group_B,4.87,9.0,0.0,18.6,East,Tablet
CUST_005170,Group_B,28.86,8.0,1.0,13.9,South,Desktop
CUST_001023,Group_A,9.66,8.0,0.0,3.8,North,Desktop
CUST_009885,Group_C,7.84,8.0,1.0,19.4,North,Mobile
CUST_000036,Group_A,14.0,7.0,0.0,10.7,South,Desktop
CUST_001884,Group_A,39.66,4.0,1.0,11.9,West,Mobile
CUST_001248,Group_A,66.86,15.0,4.0,9.2,South,Tablet
CUST_003795,Group_B,35.89,15.0,0.0,21.1,East,Tablet
CUST_007810,Group_C,6.67,10.0,2.0,27.5,North,Tablet
CUST_009123,Group_C,56.72,10.0,1.0,16.3,North,Tablet
CUST_004036,Group_B,25.88,11.0,1.0,7.9,East,Mobile
CUST_006503,Group_C,20.36,7.0,0.0,6.1,West,Mobile
CUST_000901,Group_A,79.06,14.0,0.0,5.6,North,Desktop
CUST_007709,Group_C,27.17,9.0,0.0,3.6,East,Desktop
CUST_001985,Group_A,89.08,9.0,0.0,10.8,West,Mobile
CUST_007676,Group_C,21.53,7.0,1.0,28.0,West,Desktop
CUST_003705,Group_B,119.34,8.0,0.0,15.8,South,Desktop
CUST_001489,Group_A,105.56,8.0,2.0,0.0,North,Mobile
CUST_003352,Group_B,199.39,11.0,0.0,11.9,South,Desktop
CUST_004231,Group_B,58.32,4.0,0.0,11.1,North,Mobile
CUST_004771,Group_B,62.21,13.0,0.0,12.4,North,Tablet
CUST_003992,Group_B,22.65,12.0,0.0,1.4,South,Mobile
CUST_001459,Group_A,23.61,11.0,0.0,1.8,North,Desktop
CUST_007022,Group_C,205.61,13.0,0.0,9.5,East,Desktop
CUST_007699,Group_C,150.71,10.0,0.0,11.6,South,Tablet
CUST_009369,Group_C,7.51,9.0,0.0,17.3,North,Desktop
CUST_007973,Group_C,17.49,16.0,0.0,24.5,North,Mobile
CUST_003942,Group_B,32.88,11.0,1.0,4.0,East,Mobile
CUST_008147,Group_C,91.95,11.0,0.0,13.1,North,Desktop
CUST_004851,Group_B,54.2,16.0,2.0,28.0,North,Mobile
CUST_008139,Group_C,68.28,9.0,0.0,6.1,East,Tablet
CUST_007783,Group_C,31.55,15.0,0.0,15.8,South,Mobile
CUST_007400,Group_C,8.47,9.0,0.0,27.8,North,Tablet
CUST_000879,Group_A,387.62,13.0,1.0,16.1,North,Desktop
CUST_009662,Group_C,14.62,8.0,0.0,12.2,West,Mobile
CUST_005668,Group_B,22.62,10.0,0.0,5.9,East,Tablet
CUST_000136,Group_A,21.55,8.0,0.0,1.1,East,Tablet
CUST_004646,Group_B,73.1,6.0,0.0,15.5,West,Mobile
CUST_009054,Group_C,17.83,2.0,1.0,15.0,East,Tablet
CUST_009384,Group_C,46.23,12.0,1.0,33.7,West,Mobile
CUST_006388,Group_B,9.31,9.0,0.0,5.7,North,Tablet
CUST_009091,Group_C,256.14,10.0,1.0,15.0,East,Mobile
CUST_000040,Group_A,37.62,11.0,0.0,18.1,South,Desktop
CUST_002305,Group_A,156.22,12.0,0.0,13.6,South,Desktop
CUST_005045,Group_B,13.74,9.0,1.0,7.9,North,Tablet
CUST_005760,Group_B,9.42,12.0,1.0,3.5,East,Tablet
CUST_007739,Group_C,14.54,12.0,0.0,25.5,North,Desktop
CUST_003937,Group_B,14.83,10.0,1.0,27.4,North,Mobile
CUST_000734,Group_A,65.1,6.0,1.0,6.9,East,Desktop
CUST_002596,Group_A,2.24,12.0,1.0,15.5,West,Desktop
CUST_001954,Group_A,33.22,13.0,0.0,30.2,South,Desktop
CUST_003536,Group_B,23.43,16.0,0.0,22.9,North,Mobile
CUST_004481,Group_B,113.71,10.0,2.0,23.1,North,Mobile
CUST_004817,Group_B,34.76,7.0,1.0,15.6,West,Desktop
CUST_001672,Group_A,92.81,4.0,0.0,27.5,North,Mobile
CUST_002752,Group_A,6.58,8.0,0.0,12.8,East,Tablet
CUST_004970,Group_B,7.08,12.0,2.0,24.1,South,Desktop
CUST_001181,Group_A,81.21,8.0,1.0,8.1,West,Tablet
CUST_008384,Group_C,9.68,9.0,1.0,10.5,West,Mobile
CUST_009904,Group_C,29.11,8.0,0.0,25.4,East,Tablet
CUST_004708,Group_B,6.15,18.0,0.0,10.8,North,Desktop
CUST_004994,Group_B,20.08,15.0,0.0,25.4,North,Desktop
CUST_000484,Group_A,52.69,11.0,0.0,14.7,North,Desktop
CUST_003708,Group_B,90.02,8.0,1.0,13.8,East,Tablet
CUST_005287,Group_B,178.1,17.0,0.0,1.5,West,Mobile
CUST_008313,Group_C,114.36,15.0,1.0,16.6,East,Mobile
CUST_002376,Group_A,136.59,12.0,1.0,16.8,North,Mobile
CUST_002626,Group_A,14.38,16.0,0.0,25.6,South,Tablet
CUST_001209,Group_A,109.0,17.0,0.0,12.0,East,Mobile
CUST_001394,Group_A,39.96,16.0,0.0,19.2,North,Mobile
CUST_005071,Group_B,4.9,8.0,1.0,7.9,West,Tablet
CUST_009827,Group_C,5.84,9.0,0.0,13.8,South,Desktop
CUST_000304,Group_A,274.65,9.0,0.0,29.2,North,Tablet
CUST_009344,Group_C,189.73,9.0,0.0,25.4,East,Tablet
CUST_000959,Group_A,934.03,12.0,1.0,10.0,North,Mobile
CUST_002125,Group_A,208.98,15.0,1.0,12.4,West,Tablet
CUST_003308,Group_B,51.71,11.0,0.0,17.7,West,Desktop
CUST_009623,Group_C,26.97,12.0,0.0,0.0,West,Tablet
CUST_008572,Group_C,13.74,14.0,1.0,6.2,East,Tablet
CUST_002166,Group_A,58.73,12.0,0.0,19.2,East,Tablet
CUST_003306,Group_B,20.42,7.0,0.0,9.6,North,Mobile
CUST_001865,Group_A,534.57,7.0,0.0,5.7,South,Mobile
CUST_003128,Group_B,22.41,9.0,2.0,8.2,North,Mobile
CUST_003507,Group_B,9.22,13.0,2.0,7.8,East,Desktop
CUST_009724,Group_C,4.86,10.0,0.0,2.3,East,Tablet
CUST_001079,Group_A,68.06,15.0,0.0,14.0,West,Desktop
CUST_005199,Group_B,25.4,8.0,0.0,10.5,North,Desktop
CUST_002453,Group_A,11.1,11.0,0.0,7.5,North,Mobile
CUST_008560,Group_C,77.41,10.0,2.0,10.3,East,Mobile
CUST_004802,Group_B,8.74,18.0,0.0,18.8,West,Desktop
CUST_008097,Group_C,27.0,11.0,0.0,12.8,West,Mobile
CUST_005704,Group_B,24.04,10.0,1.0,6.3,West,Tablet
CUST_008489,Group_C,40.69,9.0,1.0,7.9,West,Mobile
