customer_id,group,revenue,revenue_pre,revenue_post,engagement_score,engagement_score_pre,engagement_score_post,support_tickets,support_tickets_pre,support_tickets_post,customer_churned,new_customer,region,device_type
CUST_006253,Treatment,5.99,5.0,5.99,60.89,51.31,60.89,3.04,4.0,3.04,0,0,East,Desktop
CUST_004685,Control,245.0,230.26,245.0,55.24,55.3,55.24,2.17,2.0,2.17,0,0,West,Desktop
CUST_001732,Control,95.41,89.23,95.41,48.74,48.56,48.74,3.25,3.0,3.25,0,0,South,Desktop
CUST_004743,Control,947.48,911.44,947.48,49.62,49.67,49.62,5.34,5.0,5.34,0,0,South,Mobile
CUST_004522,Control,5.38,5.13,5.38,53.45,53.83,53.45,3.32,3.0,3.32,0,1,South,Desktop
CUST_006341,Treatment,24.3,20.63,24.3,71.45,59.34,71.45,1.62,2.0,1.62,0,0,East,Desktop
CUST_000577,Control,19.0,18.04,19.0,58.54,57.51,58.54,3.16,3.0,3.16,0,0,North,Mobile
CUST_005203,Treatment,15.45,12.87,15.45,58.5,47.48,58.5,1.5,2.0,1.5,0,0,North,Tablet
CUST_006364,Treatment,60.95,51.72,60.95,75.63,61.15,75.63,2.3,3.0,2.3,1,0,North,Desktop
CUST_000440,Control,11.4,10.68,11.4,46.37,45.73,46.37,2.18,2.0,2.18,0,0,East,Mobile
CUST_002751,Control,152.21,144.78,152.21,47.06,47.64,47.06,2.17,2.0,2.17,0,0,East,Tablet
CUST_007488,Treatment,23.16,19.98,23.16,53.62,43.34,53.62,2.26,3.0,2.26,0,0,West,Desktop
CUST_005273,Treatment,80.13,68.44,80.13,61.78,51.22,61.78,0.75,1.0,0.75,0,0,West,Desktop
CUST_005654,Treatment,197.59,168.11,197.59,60.34,49.2,60.34,3.19,4.0,3.19,0,1,South,Mobile
CUST_004000,Control,26.69,25.42,26.69,48.59,49.01,48.59,4.48,4.0,4.48,0,0,South,Mobile
CUST_006034,Treatment,7.37,6.07,7.37,59.43,47.53,59.43,0.76,1.0,0.76,0,1,West,Desktop
CUST_000583,Control,43.18,41.57,43.18,51.46,51.3,51.46,3.17,3.0,3.17,0,0,West,Desktop
CUST_009931,Treatment,39.09,33.01,39.09,67.32,54.51,67.32,1.46,2.0,1.46,0,0,West,Desktop
CUST_007052,Treatment,36.12,31.27,36.12,58.79,49.62,58.79,0.0,0.0,0.0,0,0,South,Desktop
CUST_008159,Treatment,56.3,48.28,56.3,51.77,42.47,51.77,3.11,4.0,3.11,0,0,East,Desktop
CUST_009897,Treatment,89.04,75.49,89.04,48.77,40.2,48.77,3.89,5.0,3.89,0,0,West,Tablet
CUST_002250,Control,75.13,70.84,75.13,53.78,53.86,53.78,0.0,0.0,0.0,0,0,East,Tablet
CUST_004641,Control,6.15,5.78,6.15,52.51,53.58,52.51,3.19,3.0,3.19,1,0,South,Desktop
CUST_009486,Treatment,255.58,222.58,255.58,53.19,44.69,53.19,2.15,3.0,2.15,0,0,East,Desktop
CUST_004948,Control,16.79,15.71,16.79,51.89,52.27,51.89,2.21,2.0,2.21,1,0,North,Desktop
CUST_009921,Treatment,10.23,8.75,10.23,66.42,53.16,66.42,1.49,2.0,1.49,0,1,North,Mobile
