customer_id,revenue,clicks,conversions,session_duration,page_views,bounce_rate,time_on_site,region,device_type
CUST_000001,60.1,41.0,1.0,0.0,20.192711537143502,0.203,575.0,West,Tablet
CUST_000002,28.05,14.0,1.0,29.9,8.893288641932811,0.594,2020.0,South,Desktop
CUST_000003,72.04,25.0,3.0,21.6,37.979009728984074,0.172,1939.0,South,Desktop
CUST_000004,205.95,,3.0,9.0,2.6490665527250763,0.541,700.0,East,Mobile
CUST_000005,25.0,27.0,3.0,6.1,,0.376,486.0,South,Tablet
CUST_000006,25.0,12.0,0.0,3.4,5.998528800812404,0.756,34.0,East,Desktop
CUST_000007,220.31,13.0,0.0,0.9,8.259042782194333,0.174,305.0,West,Mobile
CUST_000008,83.17,34.0,0.0,11.5,39.378699789125484,0.734,931.0,North,Mobile
CUST_000009,18.85,19.0,0.0,16.7,,0.269,1058.0,West,Mobile
CUST_000010,63.5,19.0,1.0,15.2,28.5192249132414,0.048,888.0,East,Desktop
CUST_000011,18.99,39.0,2.0,96.1,11.552401247849454,0.803,5466.0,East,Desktop
CUST_000012,18.94,19.0,0.0,0.1,6.830938415616328,0.294,0.0,West,Tablet
CUST_000013,44.27,18.0,1.0,25.4,13.841038340735903,0.518,1322.0,South,Mobile
CUST_000014,3.33,7.0,2.0,9.4,18.501341268066454,,641.0,West,Desktop
CUST_000015,4.18,13.0,1.0,19.2,3.6869048036184697,0.606,1442.0,South,Mobile
CUST_000016,16.87,23.0,3.0,6.8,7.032639773429417,0.273,444.0,South,Mobile
CUST_000017,,26.0,1.0,2.0,69.33364153556003,0.379,914.0,South,Desktop
CUST_000018,48.28,19.0,0.0,,8.770781555901232,0.342,606.0,West,Desktop
CUST_000019,11.14,16.0,0.0,19.5,19.342047208660755,0.441,1363.0,East,Desktop
CUST_000020,6.08,22.0,2.0,1.5,,0.621,144.0,North,Mobile
CUST_000021,192.25,6.0,0.0,12.5,6.734269406924144,0.21,1236.0,West,Mobile
CUST_000022,25.26,31.0,2.0,14.0,15.635992116198729,0.215,75.0,North,Tablet
CUST_000023,35.91,26.0,0.0,11.6,9.212860143098982,0.584,613.0,North,Desktop
CUST_000024,5.99,39.0,0.0,5.0,24.103022011406953,0.052,356.0,South,Mobile
CUST_000025,17.23,22.0,1.0,13.8,30.162479272042933,0.142,,South,Desktop
CUST_000026,37.83,19.0,1.0,9.4,,0.234,640.0,East,Tablet
CUST_000027,8.32,23.0,1.0,3.3,20.36637562205475,0.379,110.0,West,Mobile
CUST_000028,51.98,30.0,3.0,24.4,14.458053912439405,0.154,1097.0,North,Desktop
CUST_000029,,18.0,0.0,22.8,27.370064346385533,0.694,1256.0,North,Mobile
CUST_000030,23.34,32.0,5.0,9.9,14.806983506177994,0.664,818.0,West,Mobile
CUST_000031,16.09,31.0,1.0,10.2,2.4919549980420825,0.072,721.0,East,Mobile
CUST_000032,305.74,35.0,0.0,14.2,15.410354906608546,0.444,776.0,North,Desktop
CUST_000033,32.58,10.0,0.0,21.8,38.86795800423133,0.11,1506.0,North,Mobile
CUST_000034,9.31,37.0,2.0,25.5,4.893860690358871,0.627,1165.0,East,Desktop
CUST_000035,88.86,23.0,0.0,3.2,10.069947732350771,0.13,0.0,East,Mobile
CUST_000036,7.65,20.0,0.0,22.6,5.571160442918875,0.633,938.0,North,Desktop
CUST_000037,42.55,38.0,0.0,15.9,61.962585505100485,0.203,1300.0,West,Desktop
CUST_000038,3.15,18.0,0.0,13.6,9.69133713264857,0.505,974.0,South,Mobile
CUST_000039,6.73,22.0,1.0,5.3,20.85857120759963,0.32,153.0,West,Mobile
CUST_000040,41.94,40.0,0.0,13.7,7.202565252112238,0.378,802.0,West,Desktop
CUST_000041,80.33,19.0,1.0,14.0,6.246588210241684,0.22,1140.0,North,Mobile
CUST_000042,40.68,16.0,0.0,12.2,3.581159620280139,0.552,958.0,East,Mobile
CUST_000043,28.82,28.0,1.0,13.6,11.231052526910645,0.573,889.0,South,Desktop
CUST_000044,23.07,26.0,3.0,23.6,21.562892638630206,,808.0,North,Mobile
CUST_000045,,27.0,5.0,17.5,37.03868119801623,0.281,1181.0,West,Mobile
CUST_000046,13.96,23.0,4.0,22.7,1.3064964427934354,0.517,1181.0,East,Desktop
CUST_000047,19.05,16.0,1.0,3.6,27.119607466355145,0.575,0.0,East,Mobile
CUST_000048,117.75,39.0,3.0,12.2,24.5478983995339,0.165,1144.0,North,Desktop
CUST_000049,50.02,17.0,2.0,11.0,28.250032509598775,0.357,,East,Desktop
CUST_000050,3.99,17.0,1.0,19.5,2.4097285881041266,0.505,1042.0,East,Mobile
CUST_000051,48.86,30.0,2.0,16.9,6.413919880604496,0.16,1445.0,North,Mobile
CUST_000052,20.86,,3.0,21.1,13.811552509951797,0.645,1123.0,South,Desktop
CUST_000053,14.7,20.0,1.0,27.8,55.00833890795052,0.248,1400.0,North,Mobile
CUST_000054,68.99,17.0,1.0,16.8,8.595965718075657,,,East,Desktop
CUST_000055,114.11,27.0,2.0,14.7,3.720660119695067,0.195,857.0,North,Desktop
CUST_000056,101.24,20.0,2.0,12.9,12.72305023728788,0.854,703.0,East,Desktop
CUST_000057,12.1,12.0,1.0,1.0,13.285411015156335,0.603,,North,Desktop
CUST_000058,22.85,25.0,0.0,5.0,28.88395629918776,0.258,703.0,South,Mobile
CUST_000059,49.28,21.0,1.0,2.0,4.535709087732807,0.062,0.0,North,Mobile
CUST_000060,106.77,22.0,5.0,10.7,3.457857555136863,0.311,516.0,East,Desktop
CUST_000061,18.63,22.0,0.0,11.9,6.824967246335578,0.386,942.0,West,Mobile
CUST_000062,26.5,27.0,,28.8,14.783880869556597,0.364,987.0,West,Desktop
CUST_000063,8.78,28.0,4.0,15.8,14.337464559761349,0.423,560.0,West,Desktop
CUST_000064,7.88,22.0,0.0,16.2,13.198936655823676,0.179,1032.0,West,Desktop
CUST_000065,87.8,34.0,3.0,9.0,54.551852117079086,0.34,,North,Mobile
CUST_000066,168.59,20.0,0.0,13.9,15.32221256676642,0.412,396.0,North,Mobile
CUST_000067,30.37,27.0,1.0,0.0,4.7360390165380135,0.338,0.0,North,Tablet
CUST_000068,110.41,25.0,2.0,20.1,16.820837349224526,,1272.0,East,Desktop
CUST_000069,,,1.0,11.7,2.1007659834851053,0.093,1146.0,East,Desktop
CUST_000070,15.27,10.0,1.0,5.3,23.289862945809002,0.24,184.0,West,Desktop
CUST_000071,51.09,32.0,1.0,13.6,19.22553077231167,0.361,593.0,East,Mobile
CUST_000072,209.69,17.0,0.0,20.3,2.9735432894432337,0.203,1552.0,East,Desktop
CUST_000073,31.72,10.0,0.0,21.2,25.105353306035873,0.234,726.0,North,Desktop
CUST_000074,216.5,10.0,2.0,29.4,5.147359079257781,,1767.0,South,Desktop
CUST_000075,1.43,8.0,2.0,14.0,20.71523677787802,0.432,534.0,South,Mobile
CUST_000076,,22.0,4.0,5.9,10.467149772657143,0.543,0.0,South,Desktop
CUST_000077,36.76,18.0,1.0,17.8,13.68631749020866,0.43,827.0,West,Desktop
CUST_000078,23.13,13.0,0.0,22.8,,0.477,1279.0,West,Mobile
CUST_000079,36.97,11.0,0.0,18.9,21.816490613054484,0.132,1090.0,East,Desktop
